board_certs,doctor,doctor_type,education,gender,individual_rating,languages,npi,overall_patient_ratings,overall_rating,practice,street_address,city_state,zoc_awards
,Dr. Sam Na,,,,,,,,,,,,
,Dr. Alexandra Yungelson,,,,,,,,,,,,
,Dr. Nirooch Suebsanguan (Nathan Sang),,,,,,,,,,,,
,Dr. Svetlana Monastyrskaya,,,,,,,,,,,,
,Dr. Mee Kyung (Michelle) Han,,,,,,,,,,,,
,Dr. Priya Sekhri,,,,,,,,,,,,
,Dr. Steven Ritholtz,,,,,,,,,,,,
,Dr. Matthew Hausserman,,,,,,,,,,,,
,Dr. Azar Boujaran-Ghomi,,,,,,,,,,,,
,Dr. Brian Quinn,,,,,,,,,,,,
,Dr. Raul Cortes,,,,,,,,,,,,
,Dr. Sanaz Lalehparvar,,,,,,,,,,,,
,Dr. Judah Weinstein,,,,,,,,,,,,
,Dr. Ronak Chinai,,,,,,,,,,,,
,Dr. Abraham Demoz,,,,,,,,,,,,
,Dr. Alexander Alvarado,,,,,,,,,,,,
,Judith MacDowell,,,,,,,,,,,,
,Dr. Elizabeth Feingold,,,,,,,,,,,,
,Kamille Stine,,,,,,,,,,,,
,Dr. Yuli Fradkin,,,,,,,,,,,,
,Dr. Matthew Lane,,,,,,,,,,,,
,Dr. Yasanthi Soans,,,,,,,,,,,,
,Dr. Cameron Mahle,,,,,,,,,,,,
,Dr. Aykut Ozden,,,,,,,,,,,,
,Dr. Susan Plunket,,,,,,,,,,,,
,Dr. Jeffrey Buckner,,,,,,,,,,,,
,Dr. Christina Carter,,,,,,,,,,,,
,Aditi Verma,,,,,,,,,,,,
,Dr. Vsevolod Rudoy,,,,,,,,,,,,
,Allison Steigman,,,,,,,,,,,,
,Dr. Michelle Sheets,,,,,,,,,,,,
,Stephanie Vanden Bos,,,,,,,,,,,,
,Dr. Sara Malagold,,,,,,,,,,,,
,Amber Weiss,,,,,,,,,,,,
,Dr. Jeremie Rachunow,,,,,,,,,,,,
,Dr. Faika Khan,,,,,,,,,,,,
,Dr. Raisa Mitelman,,,,,,,,,,,,
,Dr. Lisa Primiani,,,,,,,,,,,,
,Dr. Anzhela Dvorkina,,,,,,,,,,,,
,Dr. Hamed H. Qaisar,,,,,,,,,,,,
,Dr. John Coyne,,,,,,,,,,,,
,Dr. LuAnne Codella,,,,,,,,,,,,
,Dr. John Dellosso,,,,,,,,,,,,
,Dr. Michael Kim,,,,,,,,,,,,
,Dr. Jeffrey Delson,,,,,,,,,,,,
,Dr. Michael Kim,,,,,,,,,,,,
,Susannah Kerwin,,,,,,,,,,,,
,Dr. Michael Akselrud,,,,,,,,,,,,
,Dr. Charmaine Young,,,,,,,,,,,,
,Dr. Patrick Ko,,,,,,,,,,,,
,Dr. Hari Polavarapu,,,,,,,,,,,,
,Dr. Jessica Levatino,,,,,,,,,,,,
,Dr. Rupal Bhingradia,,,,,,,,,,,,
,Dr. Oleg Olshanetskiy,,,,,,,,,,,,
,Dr. Alexander Druif,,,,,,,,,,,,
,Dr. Keith Uleis,,,,,,,,,,,,
,Dr. Sanaz Lalehparvar,,,,,,,,,,,,
,Dr. Robert F. Mancuso,,,,,,,,,,,,
,Dr. Jose Echenique,,,,,,,,,,,,
,Dr. Mark Mohrmann,,,,,,,,,,,,
,Dr. Felix Chien,,,,,,,,,,,,
,Dr. Tanuj Palvia,,,,,,,,,,,,
,Dr. Sid Sharma,,,,,,,,,,,,
,Dr. Matthew Kohler,,,,,,,,,,,,
,Dr. Shelly Shi,,,,,,,,,,,,
,Dr. Mark Mohrmann,,,,,,,,,,,,
,Dr. Jonathann C. Kuo,,,,,,,,,,,,
,Dr. Charles J. White,,,,,,,,,,,,
,Dr. Mark Sharobeem,,,,,,,,,,,,
,Dr. Sooji Kim,,,,,,,,,,,,
,Dr. Miguel Cunha,,,,,,,,,,,,
,Dr. Mark Sharobeem,,,,,,,,,,,,
,Dr. Miguel Cunha,,,,,,,,,,,,
,Dr. Sooji Kim,,,,,,,,,,,,
,Dr. Mark Mohrmann,,,,,,,,,,,,
,Dr. Dolma Magar,,,,,,,,,,,,
,Dr. Harvey L. Katz,,,,,,,,,,,,
,Dr. Kevin J. Warner,,,,,,,,,,,,
,Dr. Yixiu Zheng,,,,,,,,,,,,
,Dr. Winston Wong,,,,,,,,,,,,
,Dr. Audrey Abatemarco,,,,,,,,,,,,
,Dr. Anthony Azar,,,,,,,,,,,,
,Dr. Christopher Chow,,,,,,,,,,,,
,Dr. Alexander R. Rances,,,,,,,,,,,,
,Dr. Mark Mohrmann,,,,,,,,,,,,
,Dr. Lewis Gross,,,,,,,,,,,,
,Dr. Babak Hamidi,,,,,,,,,,,,
,Dr. Sheryl Lee,,,,,,,,,,,,
,Dr. Krista McKenzie,,,,,,,,,,,,
,Dr. Edward Wong,,,,,,,,,,,,
,Dr. Igor Ilyabayev,,,,,,,,,,,,
,Dr. Vitaliy Fabrikant,,,,,,,,,,,,
,Dr. Lloyd Becker,,,,,,,,,,,,
,Dr. Dmitry Gerber,,,,,,,,,,,,
,Dr. Jane Yang,,,,,,,,,,,,
,Dr. Krista McKenzie,,,,,,,,,,,,
,Dr. Alla Dorfman,,,,,,,,,,,,
,Dr. Mehran Morovati,,,,,,,,,,,,
,Dr. Paolo Saggese,,,,,,,,,,,,
,Dr. Diana Lee,,,,,,,,,,,,
,Dr. Darryl Wu,,,,,,,,,,,,
,Dr. Paula Ancelson,,,,,,,,,,,,
,Dr. Raphael Santore,,,,,,,,,,,,
,Dr. Careen Fletcher,,,,,,,,,,,,
,Dr. Aparna Thorat,,,,,,,,,,,,
,Dr. Nathalie Gal,,,,,,,,,,,,
,Dr. Neer Even-Hen,,,,,,,,,,,,
,Dr. Paul Calat,,,,,,,,,,,,
,Dr. Christopher Wong,,,,,,,,,,,,
,Dr. Anthony Leonetti,,,,,,,,,,,,
,Dr. Raphael Santore,,,,,,,,,,,,
,Dr. Wen Li-Cavallo,,,,,,,,,,,,
,Dr. Alevtina (Tina) Edgar,,,,,,,,,,,,
,Dr. Wonnie Rhieu,,,,,,,,,,,,
,Dr. Martin Man,,,,,,,,,,,,
,Dr. Lily Eng,,,,,,,,,,,,
,Dr. Anthony Leonetti,,,,,,,,,,,,
,Dr. Careen Fletcher,,,,,,,,,,,,
,Dr. Charles Hashim,,,,,,,,,,,,
,Dr. Michael Yeung,,,,,,,,,,,,
,Dr. Priya Sekhri,,,,,,,,,,,,
