doctor,doctor_type,name,text
"Dr. Sooji Kim, DPM",Podiatrist,"Helen W., verified patient",
"Dr. Sooji Kim, DPM",Podiatrist,"Chandru L., verified patient",IT WAS GOOD TO KNOW HER AND ALSO SHE WAS VERY NICE  N HOPEFULLY SHE CAN TREAT  WITH PHYSIO THERAPY  BETTER THAN ANYBODY ELSE .. 
"Dr. Sooji Kim, DPM",Podiatrist,"Alex M., verified patient",
"Dr. Sooji Kim, DPM",Podiatrist,"Kimberly C., verified patient","Dr. Kim is great! She explained things well and tended to my concerns. The office staff are very friendly, and the facility is great."
"Dr. Sooji Kim, DPM",Podiatrist,Initials hidden,"Excellent. Very professional & patient.
She is very welcoming to answer all your questions"
"Dr. Sooji Kim, DPM",Podiatrist,"Alex M., verified patient","Dr.Kim made me so confident and so comfortable that I agreed to have a procedure done right away. I am glad I did. 

Also, the staff was very pleasant to deal with, and the office looked modern and very well equipped. 

Overall, a great visit! "
"Dr. Sooji Kim, DPM",Podiatrist,"Ryan S., verified patient","No wait. Very thorough, which is good for podiatrist, but does not push anything.  Overall, very good."
"Dr. Sooji Kim, DPM",Podiatrist,Initials hidden,"Great experience at this office and with Dr. Kim. She is professional, kind, and very thorough. Left my first appointment feeling very hopeful that my continued work with her will resolve my issues."
"Dr. Sooji Kim, DPM",Podiatrist,"Sarah C., verified patient",
"Dr. Sooji Kim, DPM",Podiatrist,"zantia L., verified patient",Very nice and professional. Would definitely recommend.
"Dr. Sooji Kim, DPM",Podiatrist,Initials hidden,
"Dr. Sooji Kim, DPM",Podiatrist,"Stacey K., verified patient",Great!
"Dr. Sooji Kim, DPM",Podiatrist,"Christopher B., verified patient",She was professional one of the best I've seen I think I might keep this doctor for a while
"Dr. Sooji Kim, DPM",Podiatrist,Initials hidden,tbd
"Dr. Sooji Kim, DPM",Podiatrist,Initials hidden,"Great visit, she listened to my needs and was very attentive. Would go back. Only thing that was a bit uncomfortable was that they leave doors open with patients in them before the doctor is in — didn’t get much privacy. "
"Dr. Sooji Kim, DPM",Podiatrist,"Milton M., verified patient","Very knowledgeable, and answered all questions, and made useful suggestions"
"Dr. Sooji Kim, DPM",Podiatrist,"Karrien R., verified patient",
"Dr. Sooji Kim, DPM",Podiatrist,"Lizbeth M., verified patient","It was great! They took care of me so well. Her staff was so king and so professional. Dr Kim was patient and answered all my questions carefully, she made me feel well taken care of. She is great!"
"Dr. Sooji Kim, DPM",Podiatrist,"Lorenzo V., verified patient",This doctor went above and beyond. She treated me with respect and was very thorough and clear in her explanations. I am very happy that I found such a great doctor.  I recommend this place to anyone.
"Dr. Sooji Kim, DPM",Podiatrist,Initials hidden,"She was very friendly, professional, compassionate, and courteous. I highly recommend her."
"Dr. Sooji Kim, DPM",Podiatrist,Initials hidden,Dr. Kim was very professional and listened to my concerns. She thoroughly explained her thoughts and what should follow. I would highly recommend Dr Kim
