doctor,doctor_type,name,text
"Payal Pawar, PT",Physical Therapist,"EB, verified patient",I was very happy with my visit. Everyone was excellent!!
"Payal Pawar, PT",Physical Therapist,"MA, verified patient",Very good!
"Payal Pawar, PT",Physical Therapist,"JB, verified patient",Great... Rehabing my shoulder & relaxing at same time.
"Payal Pawar, PT",Physical Therapist,"DU, verified patient",Excellent!
"Dr. Josephine Huang, MD","Physiatrist, Acupuncturist","Charles M., verified patient","Dr. Huang and her staff were wonderful. They were able to accommodate my changing schedule and when I arrived for my appointment, I was seen quickly. The Dr was professional and really listened to my concerns. Her questions were clearly helping to get to the root of the issue. "
"Dr. Josephine Huang, MD","Physiatrist, Acupuncturist","C E., verified patient","Dr. Huang is a true professional. She is thoughtful, thorough and cares!"
"Dr. Josephine Huang, MD","Physiatrist, Acupuncturist","Richard G., verified patient",Not very helpful or useful. Told me to just keep taking ibuprofen for the sharp back pain I was having.
"Dr. Josephine Huang, MD","Physiatrist, Acupuncturist","Brian K., verified patient",Great
"Dr. Josephine Huang, MD","Physiatrist, Acupuncturist",Initials hidden,"Dr. Huang and her staff were very helpful, knowledgeable, and friendly! "
"Dr. Josephine Huang, MD","Physiatrist, Acupuncturist","Rosalind S., verified patient",Satisfactory and painless. Very professional and comfortable atmosphere.
"Dr. Josephine Huang, MD","Physiatrist, Acupuncturist","Rosalind S., verified patient",It was more of evaluation and teaching. I need to know how acupuncture goes next session 
"Dr. Josephine Huang, MD","Physiatrist, Acupuncturist","Victoria R., verified patient",She’s amazing! She really cares about her patients! And I loved the back treatment!!! 
"Dr. Josephine Huang, MD","Physiatrist, Acupuncturist","Thomas W., verified patient",Seemed initially helpful and prescribed physical therapy. I could not work with the hours her team offered and they then refused to provide a prescription for me to receive PT from any other providers/locations.
"Dr. Josephine Huang, MD","Physiatrist, Acupuncturist","Christian E., verified patient","Very unethical business. They took my appointment for acupuncture, I provided my insurance information. Only when I got to their office they informed me my insurance does not cover the service. My insurance does cover the cost."
"Dr. Josephine Huang, MD","Physiatrist, Acupuncturist","Alan B., verified patient","very friendly, patient and knowledgeable.  and her acupuncture services came with immediate results where other western medicine specialists had failed. i highly recommend dr huang and her team. "
"Dr. Josephine Huang, MD","Physiatrist, Acupuncturist",Initials hidden,Very pleasant 
"Dr. Josephine Huang, MD","Physiatrist, Acupuncturist",Initials hidden,Enter only if you are Chinese. Huang depended on her team almost exclusively - the technician was extremely unprofessional and rude. VERY little communication unless forced. Don't bother.
"Dr. Josephine Huang, MD","Physiatrist, Acupuncturist","Elena C., verified patient","Dr Huang was informative and helpful, she seems to have a persepective informed by training in multiple modalities."
"Dr. Josephine Huang, MD","Physiatrist, Acupuncturist","Claire H., verified patient",She was thorough and kind.  She explained everything and listened carefully to me.  I felt respected.
"Dr. Josephine Huang, MD","Physiatrist, Acupuncturist",Initials hidden,Amazing electrical massage therapy!
"Dr. Josephine Huang, MD","Physiatrist, Acupuncturist","Jill D., verified patient",Very helpful.
"Dr. Josephine Huang, MD","Physiatrist, Acupuncturist","Victoria R., verified patient",Today was the first treatment for neck and shoulder pain. It was an electrical massage. It was amazing I fell to sleep! Cant wait to go back! 
"Dr. Josephine Huang, MD","Physiatrist, Acupuncturist","Victoria R., verified patient","Very cute little office. She seemed very concerned and listened to everything I had to say. Gave me her recommendations and I agreed, will be attending my follow up appointments. Highly recommend! "
"Dr. Josephine Huang, MD","Physiatrist, Acupuncturist","Sophy M., verified patient","The doctor was very warm, professional, and thorough. She took the time to actually put my body through movements to get to the root of the issue. "
"Dr. Josephine Huang, MD","Physiatrist, Acupuncturist","Maribel S., verified patient","Doctor is kind, patient, very informative. "
"Dr. Josephine Huang, MD","Physiatrist, Acupuncturist","Uyen T., verified patient",v
"Dr. Josephine Huang, MD","Physiatrist, Acupuncturist","Carla J., verified patient",She was patient and kind. Thorough in the examination and answered all my questions and concerns.
"Dr. Josephine Huang, MD","Physiatrist, Acupuncturist","Cyralene C., verified patient",Always responsive and helpful.
"Dr. Josephine Huang, MD","Physiatrist, Acupuncturist","Vijay N., verified patient",
"Dr. Josephine Huang, MD","Physiatrist, Acupuncturist","Christopher K., verified patient",
"Dr. Josephine Huang, MD","Physiatrist, Acupuncturist","Cyralene C., verified patient",Wonderful Dr. Very knowledgeable and insightful. 
"Dr. Josephine Huang, MD","Physiatrist, Acupuncturist",Initials hidden,"Although I had to wait, the doctor listens to you with patients,  did not rush to any conclusion, took time for consultation.  After the exam, she explained to me what needs to be done from here on. Highly recommended. "
"Dr. Josephine Huang, MD","Physiatrist, Acupuncturist","Lior S., verified patient",
"Dr. Josephine Huang, MD","Physiatrist, Acupuncturist","Yelena D., verified patient","Wonderful doctor. Very attentive, thorough and knowledgeable.   She listens and answers questions. Her assistant, acupuncturist, is great.  The office is clean.  Receptionists are pleasant.  I definitely plan to be there often. "
"Dr. Josephine Huang, MD","Physiatrist, Acupuncturist","Eden S., verified patient",
"Dr. Josephine Huang, MD","Physiatrist, Acupuncturist",Initials hidden,"Dr. Huang is very professional and knowledgeable, as is everyone in her office.  "
"Dr. Josephine Huang, MD","Physiatrist, Acupuncturist","Nat T., verified patient","Explained very well and understand patient 
"
"Dr. Josephine Huang, MD","Physiatrist, Acupuncturist","Brigette M., verified patient",
"Dr. Josephine Huang, MD","Physiatrist, Acupuncturist","Ben D., verified patient",
"Dr. Josephine Huang, MD","Physiatrist, Acupuncturist","Charles M., verified patient",Dr Huang and her team remain superlatives in my book. Best acupuncture care in NYC!
"Dr. Josephine Huang, MD","Physiatrist, Acupuncturist","Patricia H., verified patient","Very helpful 
Took her time 
Professional "
"Dr. Josephine Huang, MD","Physiatrist, Acupuncturist","Simone S., verified patient",
"Dr. Josephine Huang, MD","Physiatrist, Acupuncturist","Leah B., verified patient","Dr. Josephine Huang and her staff are absolutely wonderful.
I had a problem raising my right arm with very limited activities within a week doing the acupuncture therapy I can lift my and have full function of my arm again.

Thank you all!"
"Dr. Josephine Huang, MD","Physiatrist, Acupuncturist","Susan N., verified patient",Very knowledgeable and helpful.
"Dr. Josephine Huang, MD","Physiatrist, Acupuncturist","Kenneth P., verified patient",She was excellent in every way.  Highly recommended
"Dr. Josephine Huang, MD","Physiatrist, Acupuncturist","Gregory M., verified patient","The doctor was very knowledgeable, professional and personable."
"Dr. Josephine Huang, MD","Physiatrist, Acupuncturist","Joseph G., verified patient",She is very attentive and takes a serious approach to helping her patients. 
"Dr. Josephine Huang, MD","Physiatrist, Acupuncturist",Initials hidden,A little stiff at first but warmed up quickly.  Looking forward to working with her and her team.
"Dr. Josephine Huang, MD","Physiatrist, Acupuncturist",Initials hidden,
