doctor,doctor_type,name,text
"Dr. Amr Ahmed Hosny, MD, MBA","Spine Specialist, Pain Management Specialist",Initials hidden,Very knowledge and thorough. Happy with my visit. 
"Dr. Amr Ahmed Hosny, MD, MBA","Spine Specialist, Pain Management Specialist","Daniel R., verified patient",Very knowledgeable answered all questions
"Dr. Amr Ahmed Hosny, MD, MBA","Spine Specialist, Pain Management Specialist",Initials hidden,
"Dr. Amr Ahmed Hosny, MD, MBA","Spine Specialist, Pain Management Specialist","Ming F., verified patient",no treatment for a big bill
"Dr. Amr Ahmed Hosny, MD, MBA","Spine Specialist, Pain Management Specialist",Initials hidden,Absolutely wonderful experience!!! Dr. Hosny is an exteremly thorough doctor. Amazing bedside manner! All questions were answered and many options given. Highly recommend to friends and family.
"Dr. Amr Ahmed Hosny, MD, MBA","Spine Specialist, Pain Management Specialist","Courtney K., verified patient",
"Dr. Amr Ahmed Hosny, MD, MBA","Spine Specialist, Pain Management Specialist","Andries L., verified patient",
"Dr. Amr Ahmed Hosny, MD, MBA","Spine Specialist, Pain Management Specialist","Andries L., verified patient",One of the best docs I have ever been to. 
"Dr. Amr Ahmed Hosny, MD, MBA","Spine Specialist, Pain Management Specialist",Initials hidden,"While the doctor seems skilled, the facility in Riverdale like a factory; very impersonal. I was flopped onto the table, he came in and injected me, and I went home. They had a very good physical therapist when I went there, which was a real plus. "
"Dr. Amr Ahmed Hosny, MD, MBA","Spine Specialist, Pain Management Specialist","Mary Margaret F., verified patient",
"Dr. Amr Ahmed Hosny, MD, MBA","Spine Specialist, Pain Management Specialist","Patrizio T., verified patient",So  good and helpful! !!
"Dr. Amr Ahmed Hosny, MD, MBA","Spine Specialist, Pain Management Specialist",Initials hidden,
"Dr. Amr Ahmed Hosny, MD, MBA","Spine Specialist, Pain Management Specialist",Initials hidden,"Has already helped with my chronic, debilitating headaches with medication and an occipital nerve block. Looked at the issue in a different way than past doctors and didn't tell me the pain was ""all in my head"" like others have. Highly recommend!"
"Dr. Amr Ahmed Hosny, MD, MBA","Spine Specialist, Pain Management Specialist","Rosa S., verified patient","Dr. Hosny and his staff are wonderful, they were thorough, compassionate and understanding. His explanations were very clear. I am very happy. I have a follow up next week."
"Dr. Amr Ahmed Hosny, MD, MBA","Spine Specialist, Pain Management Specialist","Laura M., verified patient",
"Dr. Amr Ahmed Hosny, MD, MBA","Spine Specialist, Pain Management Specialist","Annlex M., verified patient","Maria and cristine are awesome ladies very sweet and professional  , josephine musto is great.."
